iso3,GID_1,GID_2,area,population,pop_density_sqkm
AGO,AGO.14_1,AGO.14.2_1,7385.376594485609,84992,11.508147067742007
AGO,AGO.14_1,AGO.14.3_1,6902.2539743411935,43102,6.244626778474056
AGO,AGO.14_1,AGO.14.4_1,6108.47080126035,43318,7.091463871950125
AGO,AGO.14_1,AGO.14.5_1,5529.336880734358,21642,3.9140317305328844
AGO,AGO.14_1,AGO.14.6_1,3291.3219175298163,14245,4.32804823014428
AGO,AGO.14_1,AGO.14.7_1,3344.208871939496,13321,3.9833038276327515
AGO,AGO.14_1,AGO.14.8_1,10989.658134370877,50609,4.605147801797131
AGO,AGO.14_1,AGO.14.9_1,2371.6551861012663,473877,199.808556815968
AGO,AGO.14_1,AGO.14.10_1,5943.0238680189095,26829,4.514368542986077
AGO,AGO.14_1,AGO.14.11_1,8000.697934221224,32012,4.001150932479992
AGO,AGO.14_1,AGO.14.12_1,2124.5321140202595,28820,13.565339779902791
AGO,AGO.14_1,AGO.14.13_1,4829.20228776855,21353,4.421641241677343
AGO,AGO.14_1,AGO.14.14_1,9994.578684895912,21810,2.182183030182141
AGO,AGO.15_1,AGO.15.1_1,47944.182399613645,165637,3.4547882915057233
AGO,AGO.15_1,AGO.15.2_1,2626.9162147440097,53655,20.42508995865657
AGO,AGO.15_1,AGO.15.3_1,7876.244141897309,45602,5.789815447368158
AGO,AGO.15_1,AGO.15.4_1,2923.710718103103,50662,17.32797970958953
AGO,AGO.15_1,AGO.15.5_1,3762.114846779601,137734,36.61079090073535
AGO,AGO.15_1,AGO.15.6_1,14039.114128813544,35479,2.5271537558900348
AGO,AGO.15_1,AGO.15.7_1,44208.07827147718,23067,0.5217824637919787
AGO,AGO.15_1,AGO.15.8_1,41655.518797681485,108374,2.601672074386264
AGO,AGO.15_1,AGO.15.9_1,39997.921610897014,577811,14.446025611555314
AGO,AGO.16_1,AGO.16.1_1,8504.69897772525,76172,8.956460446101964
AGO,AGO.16_1,AGO.16.2_1,7761.141638030403,66702,8.594354169901147
AGO,AGO.16_1,AGO.16.3_1,8907.02996562639,375067,42.10909825693207
AGO,AGO.16_1,AGO.16.4_1,18789.228499040935,72783,3.8736555896222713
AGO,AGO.16_1,AGO.16.5_1,16076.246755639298,40870,2.542260057414423
AGO,AGO.17_1,AGO.17.1_1,3061.0504970751276,32860,10.73487681153844
AGO,AGO.17_1,AGO.17.2_1,4810.709198258292,10890,2.2636994985983985
AGO,AGO.17_1,AGO.17.3_1,5661.235359891056,20831,3.679585580840587
AGO,AGO.17_1,AGO.17.4_1,2875.06434792682,37188,12.934667019475892
AGO,AGO.17_1,AGO.17.5_1,2169.8388380107976,25277,11.649252265745561
AGO,AGO.17_1,AGO.17.6_1,6928.719225261791,40801,5.888678509477111
AGO,AGO.17_1,AGO.17.7_1,7513.13982329167,77990,10.380480309739648
AGO,AGO.17_1,AGO.17.8_1,6193.536360114717,30745,4.964046097798405
